Sn,Companies Name,City,HR Mail ID,Career Link,Status,Roles,Packages,Experience,WFH/WFO,Skills,Date ,Follow-up-1(24hrs),Follow-up-2(48hrs),Follow-up-3(100 HRS),Shifts
1,Darwinbox,Hydrabad,contact@darwinbox.in,https://www.darwinbox.com/careers,Applied,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,DONE,DAY
2,Keka HR,Hydrabad,srinidhi.d@keka.com,https://keka.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
3,Recykal,Hydrabad,,https://recykal.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
4,Skyroot Aerospace,Hydrabad,,https://skyroot.in/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
5,Dhruva Space,Hydrabad,,https://dhruvaspace.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
6,Aganitha Cognitive Solutions,Hydrabad,,https://aganitha.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
7,GenepoweRx,Hydrabad,,https://genepowerx.com/careers,Applied,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
8,Consytel Lifesciences,Hydrabad,,https://consytel.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
9,TalentSprint,Hydrabad,,https://talentsprint.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
10,GrabOn,Hydrabad,,https://grabon.in/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
11,Urban Kisaan,Hydrabad,,https://urbankisaan.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
12,StanPlus,Hydrabad,suhani.nagpal@stanplus.co.in,https://stanplus.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
13,Neemans,Hydrabad,abdul.w@neemans.com,https://neemans.in/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
14,Yellow.ai,Hydrabad,abdul.w@neemans.com,https://yellow.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
15,Hug Innovations,Hydrabad,abdul.w@neemans.com,https://huginnovations.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
16,NowPurchase,Hydrabad,abdul.w@neemans.com,https://nowpurchase.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
17,Innominds,Hydrabad,abdul.w@neemans.com,https://innominds.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
18,MosChip Technologies,Hydrabad,abdul.w@neemans.com,https://moschip.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
19,ValueLabs (startup-style scaleup),Hydrabad,abdul.w@neemans.com,https://valuelabs.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
20,Cyient (digital analytics units),Hydrabad,abdul.w@neemans.com,https://cyient.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
21,Fractal Analytics,Hydrabad,abdul.w@neemans.com,https://fractal.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
22,Tiger Analytics,Hydrabad,abdul.w@neemans.com,https://tigeranalytics.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
23,Tredence,Hydrabad,abdul.w@neemans.com,https://tredence.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
24,Gramener,Hydrabad,abdul.w@neemans.com,https://gramener.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
25,Haptik,Hydrabad,abdul.w@neemans.com,https://haptik.ai/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
26,Razorpay,Hydrabad,abdul.w@neemans.com,https://razorpay.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
27,Zenoti,Hydrabad,abdul.w@neemans.com,https://zenoti.com/careers,Pending,DS,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
28,HighRadius,Hydrabad,abdul.w@neemans.com,https://highradius.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
29,Hevo Data,Hydrabad,abdul.w@neemans.com,https://hevodata.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
30,Uniphore,Hydrabad,abdul.w@neemans.com,https://uniphore.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
31,BlueYonder,Hydrabad,abdul.w@neemans.com,https://blueyonder.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
32,OpenText (product analytics teams),Hydrabad,abdul.w@neemans.com,https://opentext.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
33,ThoughtSpot (India base),Hydrabad,abdul.w@neemans.com,https://thoughtspot.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
34,Kore.ai,Hydrabad,abdul.w@neemans.com,https://kore.ai/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
35,Whatfix,Hydrabad,abdul.w@neemans.com,https://whatfix.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
36,Zemoso Technologies,Hydrabad,abdul.w@neemans.com,https://zemosolabs.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
37,TechMojo,Hydrabad,abdul.w@neemans.com,https://techmojo.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
38,Cloud4C,Hydrabad,abdul.w@neemans.com,https://cloud4c.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
39,Pi DATACENTERS,Hydrabad,abdul.w@neemans.com,https://pidatacenters.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
40,CtrlS,Hydrabad,abdul.w@neemans.com,https://ctrls.in/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
41,Quinbay,Hydrabad,abdul.w@neemans.com,https://quinbay.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
42,Experian India (analytics hub),Hydrabad,abdul.w@neemans.com,https://experian.com/careers,Pending,DA,5LPA - 8LPA,1,WFO,,,PENDING,PENDING,PENDING,DAY
